pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.9, best_individual=[(124, 42), (114, 109), (45, 112)], fitness=(0.026364239687594382,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.9, best_individual=[(95, 133), (35, 152), (8, 179)], fitness=(0.02637438610372622,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.9, best_individual=[(155, 113), (146, 88), (143, 34)], fitness=(0.026381213544490856,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.9, best_individual=[(134, 97), (51, 112), (6, 34)], fitness=(0.02637925080168746,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.9, best_individual=[(185, 116), (146, 148), (50, 122)], fitness=(0.02635496789019043,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.9, best_individual=[(16, 132), (88, 157), (118, 55)], fitness=(0.026358975816915375,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.9, best_individual=[(169, 21), (156, 42), (161, 161)], fitness=(0.026382884873452972,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.9, best_individual=[(56, 160), (123, 45), (150, 74)], fitness=(0.026382517363915836,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.1, best_individual=[(19, 143), (137, 92), (77, 10)], fitness=(0.47069502361483806,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.1, best_individual=[(48, 121), (133, 151), (147, 127)], fitness=(0.026377344592263485,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.1, best_individual=[(13, 194), (81, 152), (190, 163)], fitness=(0.026329664947107312,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.1, best_individual=[(8, 57), (26, 64), (89, 196)], fitness=(0.0263191376748656,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.1, best_individual=[(149, 178), (127, 104), (186, 87)], fitness=(0.026338998220882592,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.1, best_individual=[(28, 100), (102, 154), (54, 186)], fitness=(0.026351471412554783,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.1, best_individual=[(195, 69), (22, 167), (8, 174)], fitness=(0.13230620135099325,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.1, best_individual=[(70, 193), (104, 193), (119, 106)], fitness=(0.026371692737531482,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.1, best_individual=[(32, 183), (137, 116), (57, 56)], fitness=(0.38867209990206275,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.1, best_individual=[(120, 19), (106, 155), (102, 191)], fitness=(0.02635082553555157,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.5, best_individual=[(44, 13), (52, 78), (121, 75)], fitness=(0.02636337083840934,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.5, best_individual=[(185, 174), (117, 103), (128, 88)], fitness=(0.02633317358030637,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.5, best_individual=[(108, 173), (41, 71), (156, 8)], fitness=(0.5796959748394368,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.5, best_individual=[(84, 21), (112, 59), (184, 68)], fitness=(0.04418334798880941,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.5, best_individual=[(197, 147), (12, 17), (34, 166)], fitness=(0.9901374923833082,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.5, best_individual=[(147, 78), (100, 144), (39, 176)], fitness=(0.026353677731417724,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.5, best_individual=[(155, 48), (51, 51), (78, 167)], fitness=(0.3132195530720615,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.5, best_individual=[(39, 172), (98, 178), (142, 127)], fitness=(0.235057455138321,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.5, best_individual=[(4, 36), (58, 166), (98, 129)], fitness=(0.2291236490959555,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.5, best_individual=[(119, 151), (38, 65), (188, 19)], fitness=(0.06120890982443483,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.9, best_individual=[(183, 113), (70, 104), (17, 151)], fitness=(0.026377003424300083,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.9, best_individual=[(24, 14), (151, 28), (100, 186)], fitness=(0.39755006260294934,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.9, best_individual=[(148, 143), (80, 110), (5, 48)], fitness=(0.0263506663315215,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.9, best_individual=[(161, 188), (10, 118), (67, 14)], fitness=(0.026377003435370083,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.9, best_individual=[(19, 75), (133, 32), (141, 51)], fitness=(0.026352375376251014,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.9, best_individual=[(195, 178), (58, 119), (188, 50)], fitness=(0.026380455078201637,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.9, best_individual=[(40, 190), (40, 98), (171, 170)], fitness=(0.026313575262214672,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.9, best_individual=[(143, 117), (159, 101), (116, 22)], fitness=(0.050104689010084025,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.9, best_individual=[(20, 38), (151, 94), (174, 125)], fitness=(0.02633734715906233,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.9, best_individual=[(132, 193), (160, 23), (198, 9)], fitness=(0.026338561566436214,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.1, best_individual=[(44, 179), (99, 146), (171, 147)], fitness=(0.026354415154749233,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.1, best_individual=[(107, 115), (40, 132), (4, 67)], fitness=(0.02633606224982432,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.1, best_individual=[(30, 84), (127, 129), (156, 78)], fitness=(0.026371770549507012,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.1, best_individual=[(63, 11), (54, 95), (197, 110)], fitness=(0.4239089808532448,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.1, best_individual=[(15, 58), (24, 149), (149, 172)], fitness=(0.988371204512865,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.1, best_individual=[(25, 5), (94, 144), (50, 156)], fitness=(0.09039410541939752,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.1, best_individual=[(88, 110), (136, 59), (109, 24)], fitness=(0.02633684803896441,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.1, best_individual=[(22, 65), (114, 39), (186, 124)], fitness=(0.026356634052984718,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.1, best_individual=[(130, 28), (174, 67), (143, 127)], fitness=(0.026333876336708473,)
